,date,country,iso_alpha,rate,confirmed,death,recovered
0,2020-01-22,US,USA,1.0,1.0,0.0,0.0
1,2020-01-22,China,CHN,1.0,547.0,17.0,28.0
2,2020-01-22,India,IND,1.0,0.0,0.0,0.0
3,2020-01-22,Korea,KOR,1.0,1.0,0.0,0.0
4,2020-01-22,Singapore,SGP,1.0,0.0,0.0,0.0
5,2020-01-22,Italy,ITA,1.0,0.0,0.0,0.0
6,2020-01-22,UK,GBR,1.0,0.0,0.0,0.0
7,2020-01-22,Germany,DEU,1.0,0.0,0.0,0.0
8,2020-01-22,Spain,ESP,1.0,0.0,0.0,0.0
9,2020-01-22,Brazil,BRA,1.0,0.0,0.0,0.0
10,2020-01-22,Australia,AUS,1.0,0.0,0.0,0.0
11,2020-01-22,Canada,CAN,1.0,0.0,0.0,0.0
12,2020-01-23,US,USA,1.0,1.0,0.0,0.0
13,2020-01-23,China,CHN,1.1681870532531398,639.0,18.0,30.0
14,2020-01-23,India,IND,1.0,0.0,0.0,0.0
15,2020-01-23,Korea,KOR,1.0,1.0,0.0,0.0
16,2020-01-23,Singapore,SGP,101.0,1.0,0.0,0.0
17,2020-01-23,Italy,ITA,1.0,0.0,0.0,0.0
18,2020-01-23,UK,GBR,1.0,0.0,0.0,0.0
19,2020-01-23,Germany,DEU,1.0,0.0,0.0,0.0
20,2020-01-23,Spain,ESP,1.0,0.0,0.0,0.0
21,2020-01-23,Brazil,BRA,1.0,0.0,0.0,0.0
22,2020-01-23,Australia,AUS,1.0,0.0,0.0,0.0
23,2020-01-23,Canada,CAN,1.0,0.0,0.0,0.0
24,2020-01-24,US,USA,1.9900990099009899,2.0,0.0,0.0
25,2020-01-24,China,CHN,1.433483044083817,916.0,26.0,36.0
26,2020-01-24,India,IND,1.0,0.0,0.0,0.0
27,2020-01-24,Korea,KOR,1.9900990099009899,2.0,0.0,0.0
28,2020-01-24,Singapore,SGP,2.98019801980198,3.0,0.0,0.0
29,2020-01-24,Italy,ITA,1.0,0.0,0.0,0.0
30,2020-01-24,UK,GBR,1.0,0.0,0.0,0.0
31,2020-01-24,Germany,DEU,1.0,0.0,0.0,0.0
32,2020-01-24,Spain,ESP,1.0,0.0,0.0,0.0
33,2020-01-24,Brazil,BRA,1.0,0.0,0.0,0.0
34,2020-01-24,Australia,AUS,1.0,0.0,0.0,0.0
35,2020-01-24,Canada,CAN,1.0,0.0,0.0,0.0
36,2020-01-25,US,USA,1.0,2.0,0.0,0.0
37,2020-01-25,China,CHN,1.527286820012882,1399.0,42.0,39.0
38,2020-01-25,India,IND,1.0,0.0,0.0,0.0
39,2020-01-25,Korea,KOR,1.0,2.0,0.0,0.0
40,2020-01-25,Singapore,SGP,1.0,3.0,0.0,0.0
41,2020-01-25,Italy,ITA,1.0,0.0,0.0,0.0
42,2020-01-25,UK,GBR,1.0,0.0,0.0,0.0
43,2020-01-25,Germany,DEU,1.0,0.0,0.0,0.0
44,2020-01-25,Spain,ESP,1.0,0.0,0.0,0.0
45,2020-01-25,Brazil,BRA,1.0,0.0,0.0,0.0
46,2020-01-25,Australia,AUS,400.99999999999994,4.0,0.0,0.0
47,2020-01-25,Canada,CAN,1.0,0.0,0.0,0.0
48,2020-01-26,US,USA,2.492537313432836,5.0,0.0,0.0
49,2020-01-26,China,CHN,1.473906548201943,2062.0,56.0,49.0
50,2020-01-26,India,IND,1.0,0.0,0.0,0.0
51,2020-01-26,Korea,KOR,1.4975124378109452,3.0,0.0,0.0
52,2020-01-26,Singapore,SGP,1.3322259136212624,4.0,0.0,0.0
53,2020-01-26,Italy,ITA,1.0,0.0,0.0,0.0
54,2020-01-26,UK,GBR,1.0,0.0,0.0,0.0
55,2020-01-26,Germany,DEU,1.0,0.0,0.0,0.0
56,2020-01-26,Spain,ESP,1.0,0.0,0.0,0.0
57,2020-01-26,Brazil,BRA,1.0,0.0,0.0,0.0
58,2020-01-26,Australia,AUS,1.0,4.0,0.0,0.0
59,2020-01-26,Canada,CAN,101.0,1.0,0.0,0.0
60,2020-01-27,US,USA,1.0,5.0,0.0,0.0
61,2020-01-27,China,CHN,1.388455924074083,2863.0,82.0,58.0
62,2020-01-27,India,IND,1.0,0.0,0.0,0.0
63,2020-01-27,Korea,KOR,1.3322259136212624,4.0,0.0,0.0
64,2020-01-27,Singapore,SGP,1.2493765586034913,5.0,0.0,0.0
65,2020-01-27,Italy,ITA,1.0,0.0,0.0,0.0
66,2020-01-27,UK,GBR,1.0,0.0,0.0,0.0
67,2020-01-27,Germany,DEU,1.0,0.0,0.0,0.0
68,2020-01-27,Spain,ESP,1.0,0.0,0.0,0.0
69,2020-01-27,Brazil,BRA,1.0,0.0,0.0,0.0
70,2020-01-27,Australia,AUS,1.2493765586034913,5.0,0.0,0.0
71,2020-01-27,Canada,CAN,1.0,1.0,0.0,0.0
72,2020-01-28,US,USA,1.0,5.0,0.0,0.0
73,2020-01-28,China,CHN,1.918962909665003,5494.0,131.0,101.0
74,2020-01-28,India,IND,1.0,0.0,0.0,0.0
75,2020-01-28,Korea,KOR,1.0,4.0,0.0,0.0
76,2020-01-28,Singapore,SGP,1.3992015968063873,7.0,0.0,0.0
77,2020-01-28,Italy,ITA,1.0,0.0,0.0,0.0
78,2020-01-28,UK,GBR,1.0,0.0,0.0,0.0
79,2020-01-28,Germany,DEU,400.99999999999994,4.0,0.0,0.0
80,2020-01-28,Spain,ESP,1.0,0.0,0.0,0.0
81,2020-01-28,Brazil,BRA,1.0,0.0,0.0,0.0
82,2020-01-28,Australia,AUS,1.0,5.0,0.0,0.0
83,2020-01-28,Canada,CAN,1.9900990099009899,2.0,0.0,0.0
84,2020-01-29,US,USA,1.0,5.0,0.0,0.0
85,2020-01-29,China,CHN,1.104841454602376,6070.0,133.0,120.0
86,2020-01-29,India,IND,1.0,0.0,0.0,0.0
87,2020-01-29,Korea,KOR,1.0,4.0,0.0,0.0
88,2020-01-29,Singapore,SGP,1.0,7.0,0.0,0.0
89,2020-01-29,Italy,ITA,1.0,0.0,0.0,0.0
90,2020-01-29,UK,GBR,1.0,0.0,0.0,0.0
91,2020-01-29,Germany,DEU,1.0,4.0,0.0,0.0
92,2020-01-29,Spain,ESP,1.0,0.0,0.0,0.0
93,2020-01-29,Brazil,BRA,1.0,0.0,0.0,0.0
94,2020-01-29,Australia,AUS,1.0,5.0,0.0,0.0
95,2020-01-29,Canada,CAN,1.0,2.0,0.0,0.0
96,2020-01-30,US,USA,1.0,5.0,0.0,0.0
97,2020-01-30,China,CHN,1.3383849450000906,8124.0,171.0,135.0
98,2020-01-30,India,IND,101.0,1.0,0.0,0.0
99,2020-01-30,Korea,KOR,1.0,4.0,0.0,0.0
100,2020-01-30,Singapore,SGP,1.4279600570613409,10.0,0.0,0.0
101,2020-01-30,Italy,ITA,1.0,0.0,0.0,0.0
102,2020-01-30,UK,GBR,1.0,0.0,0.0,0.0
103,2020-01-30,Germany,DEU,1.0,4.0,0.0,0.0
104,2020-01-30,Spain,ESP,1.0,0.0,0.0,0.0
105,2020-01-30,Brazil,BRA,1.0,0.0,0.0,0.0
106,2020-01-30,Australia,AUS,1.7984031936127745,9.0,0.0,2.0
107,2020-01-30,Canada,CAN,1.4975124378109452,3.0,0.0,0.0
108,2020-01-31,US,USA,1.1996007984031936,6.0,0.0,0.0
109,2020-01-31,China,CHN,1.2042094975264679,9783.0,213.0,214.0
110,2020-01-31,India,IND,1.0,1.0,0.0,0.0
111,2020-01-31,Korea,KOR,2.745635910224439,11.0,0.0,0.0
112,2020-01-31,Singapore,SGP,1.2997002997002998,13.0,0.0,0.0
113,2020-01-31,Italy,ITA,200.99999999999997,2.0,0.0,0.0
114,2020-01-31,UK,GBR,200.99999999999997,2.0,0.0,0.0
115,2020-01-31,Germany,DEU,1.2493765586034913,5.0,0.0,0.0
116,2020-01-31,Spain,ESP,1.0,0.0,0.0,0.0
117,2020-01-31,Brazil,BRA,1.0,0.0,0.0,0.0
118,2020-01-31,Australia,AUS,1.0,9.0,0.0,2.0
119,2020-01-31,Canada,CAN,1.0,3.0,0.0,0.0
120,2020-02-01,US,USA,1.3327787021630615,8.0,0.0,0.0
121,2020-02-01,China,CHN,1.2134312445760558,11871.0,259.0,275.0
122,2020-02-01,India,IND,1.0,1.0,0.0,0.0
123,2020-02-01,Korea,KOR,1.0908265213442325,12.0,0.0,0.0
124,2020-02-01,Singapore,SGP,1.2305918524212145,16.0,0.0,0.0
125,2020-02-01,Italy,ITA,1.0,2.0,0.0,0.0
126,2020-02-01,UK,GBR,1.0,2.0,0.0,0.0
127,2020-02-01,Germany,DEU,1.598802395209581,8.0,0.0,0.0
128,2020-02-01,Spain,ESP,101.0,1.0,0.0,0.0
129,2020-02-01,Brazil,BRA,1.0,0.0,0.0,0.0
130,2020-02-01,Australia,AUS,1.332963374028857,12.0,0.0,2.0
131,2020-02-01,Canada,CAN,1.3322259136212624,4.0,0.0,0.0
132,2020-02-02,US,USA,1.0,8.0,0.0,0.0
133,2020-02-02,China,CHN,1.3989551015456982,16607.0,361.0,463.0
134,2020-02-02,India,IND,1.9900990099009899,2.0,0.0,0.0
135,2020-02-02,Korea,KOR,1.2497918401332224,15.0,0.0,0.0
136,2020-02-02,Singapore,SGP,1.1249219237976265,18.0,0.0,0.0
137,2020-02-02,Italy,ITA,1.0,2.0,0.0,0.0
138,2020-02-02,UK,GBR,1.0,2.0,0.0,0.0
139,2020-02-02,Germany,DEU,1.2496878901373283,10.0,0.0,0.0
140,2020-02-02,Spain,ESP,1.0,1.0,0.0,0.0
141,2020-02-02,Brazil,BRA,1.0,0.0,0.0,0.0
142,2020-02-02,Australia,AUS,1.0,12.0,0.0,2.0
143,2020-02-02,Canada,CAN,1.0,4.0,0.0,0.0
144,2020-02-03,US,USA,1.3745318352059925,11.0,0.0,0.0
145,2020-02-03,China,CHN,1.1858251425151187,19693.0,425.0,614.0
146,2020-02-03,India,IND,1.4975124378109452,3.0,0.0,0.0
147,2020-02-03,Korea,KOR,1.0,15.0,0.0,0.0
148,2020-02-03,Singapore,SGP,1.0,18.0,0.0,0.0
149,2020-02-03,Italy,ITA,1.0,2.0,0.0,0.0
150,2020-02-03,UK,GBR,1.0,2.0,0.0,0.0
151,2020-02-03,Germany,DEU,1.1998001998001997,12.0,0.0,0.0
152,2020-02-03,Spain,ESP,1.0,1.0,0.0,0.0
153,2020-02-03,Brazil,BRA,1.0,0.0,0.0,0.0
154,2020-02-03,Australia,AUS,1.0,12.0,0.0,2.0
155,2020-02-03,Canada,CAN,1.0,4.0,0.0,0.0
156,2020-02-04,US,USA,1.0,11.0,0.0,0.0
157,2020-02-04,China,CHN,1.2024576232886695,23680.0,490.0,843.0
158,2020-02-04,India,IND,1.0,3.0,0.0,0.0
159,2020-02-04,Korea,KOR,1.066622251832112,16.0,0.0,0.0
160,2020-02-04,Singapore,SGP,1.3331482509716823,24.0,0.0,0.0
161,2020-02-04,Italy,ITA,1.0,2.0,0.0,0.0
162,2020-02-04,UK,GBR,1.0,2.0,0.0,0.0
163,2020-02-04,Germany,DEU,1.0,12.0,0.0,0.0
164,2020-02-04,Spain,ESP,1.0,1.0,0.0,0.0
165,2020-02-04,Brazil,BRA,1.0,0.0,0.0,0.0
166,2020-02-04,Australia,AUS,1.083263946711074,13.0,0.0,2.0
167,2020-02-04,Canada,CAN,1.0,4.0,0.0,0.0
168,2020-02-05,US,USA,1.0908265213442325,12.0,0.0,0.0
169,2020-02-05,China,CHN,1.1574745956610661,27409.0,562.0,1115.0
170,2020-02-05,India,IND,1.0,3.0,0.0,0.0
171,2020-02-05,Korea,KOR,1.1873828856964397,19.0,0.0,0.0
172,2020-02-05,Singapore,SGP,1.1665972511453562,28.0,0.0,0.0
173,2020-02-05,Italy,ITA,1.0,2.0,0.0,0.0
174,2020-02-05,UK,GBR,1.0,2.0,0.0,0.0
175,2020-02-05,Germany,DEU,1.0,12.0,0.0,0.0
176,2020-02-05,Spain,ESP,1.0,1.0,0.0,0.0
177,2020-02-05,Brazil,BRA,1.0,0.0,0.0,0.0
178,2020-02-05,Australia,AUS,1.0,13.0,0.0,2.0
179,2020-02-05,Canada,CAN,1.2493765586034913,5.0,0.0,0.0
180,2020-02-06,US,USA,1.0,12.0,0.0,0.0
181,2020-02-06,China,CHN,1.114706806265531,30553.0,632.0,1476.0
182,2020-02-06,India,IND,1.0,3.0,0.0,0.0
183,2020-02-06,Korea,KOR,1.2104155707522357,23.0,0.0,0.0
184,2020-02-06,Singapore,SGP,1.0,28.0,0.0,0.0
185,2020-02-06,Italy,ITA,1.0,2.0,0.0,0.0
186,2020-02-06,UK,GBR,1.0,2.0,0.0,0.0
187,2020-02-06,Germany,DEU,1.0,12.0,0.0,0.0
188,2020-02-06,Spain,ESP,1.0,1.0,0.0,0.0
189,2020-02-06,Brazil,BRA,1.0,0.0,0.0,0.0
190,2020-02-06,Australia,AUS,1.0768639508070714,14.0,0.0,2.0
191,2020-02-06,Canada,CAN,1.0,5.0,0.0,0.0
192,2020-02-07,US,USA,1.0,12.0,0.0,0.0
193,2020-02-07,China,CHN,1.1152750580057416,34075.0,717.0,1998.0
194,2020-02-07,India,IND,1.0,3.0,0.0,0.0
195,2020-02-07,Korea,KOR,1.0434593654932638,24.0,0.0,1.0
196,2020-02-07,Singapore,SGP,1.0714030703320243,30.0,0.0,0.0
197,2020-02-07,Italy,ITA,1.4975124378109452,3.0,0.0,0.0
198,2020-02-07,UK,GBR,1.4975124378109452,3.0,0.0,0.0
199,2020-02-07,Germany,DEU,1.083263946711074,13.0,0.0,0.0
200,2020-02-07,Spain,ESP,1.0,1.0,0.0,0.0
201,2020-02-07,Brazil,BRA,1.0,0.0,0.0,0.0
202,2020-02-07,Australia,AUS,1.0713775874375446,15.0,0.0,2.0
203,2020-02-07,Canada,CAN,1.3992015968063873,7.0,0.0,0.0
204,2020-02-08,US,USA,1.0,12.0,0.0,0.0
205,2020-02-08,China,CHN,1.0793249950623638,36778.0,804.0,2595.0
206,2020-02-08,India,IND,1.0,3.0,0.0,0.0
207,2020-02-08,Korea,KOR,1.0,24.0,0.0,1.0
208,2020-02-08,Singapore,SGP,1.099966677774075,33.0,0.0,2.0
209,2020-02-08,Italy,ITA,1.0,3.0,0.0,0.0
210,2020-02-08,UK,GBR,1.0,3.0,0.0,0.0
211,2020-02-08,Germany,DEU,1.0,13.0,0.0,0.0
212,2020-02-08,Spain,ESP,1.0,1.0,0.0,0.0
213,2020-02-08,Brazil,BRA,1.0,0.0,0.0,0.0
214,2020-02-08,Australia,AUS,1.0,15.0,0.0,2.0
215,2020-02-08,Canada,CAN,1.0,7.0,0.0,0.0
216,2020-02-09,US,USA,1.0,12.0,0.0,3.0
217,2020-02-09,China,CHN,1.0818967638542705,39790.0,904.0,3218.0
218,2020-02-09,India,IND,1.0,3.0,0.0,0.0
219,2020-02-09,Korea,KOR,1.041649312786339,25.0,0.0,3.0
220,2020-02-09,Singapore,SGP,1.2120569524386549,40.0,0.0,2.0
221,2020-02-09,Italy,ITA,1.0,3.0,0.0,0.0
222,2020-02-09,UK,GBR,1.0,3.0,0.0,0.0
223,2020-02-09,Germany,DEU,1.0768639508070714,14.0,0.0,0.0
224,2020-02-09,Spain,ESP,1.9900990099009899,2.0,0.0,0.0
225,2020-02-09,Brazil,BRA,1.0,0.0,0.0,0.0
226,2020-02-09,Australia,AUS,1.0,15.0,0.0,2.0
227,2020-02-09,Canada,CAN,1.0,7.0,0.0,0.0
228,2020-02-10,US,USA,1.0,12.0,0.0,3.0
229,2020-02-10,China,CHN,1.0632319519396953,42306.0,1011.0,3917.0
230,2020-02-10,India,IND,1.0,3.0,0.0,0.0
231,2020-02-10,Korea,KOR,1.079968012794882,27.0,0.0,3.0
232,2020-02-10,Singapore,SGP,1.1249687578105474,45.0,0.0,2.0
233,2020-02-10,Italy,ITA,1.0,3.0,0.0,0.0
234,2020-02-10,UK,GBR,2.6611295681063125,8.0,0.0,0.0
235,2020-02-10,Germany,DEU,1.0,14.0,0.0,0.0
236,2020-02-10,Spain,ESP,1.0,2.0,0.0,0.0
237,2020-02-10,Brazil,BRA,1.0,0.0,0.0,0.0
238,2020-02-10,Australia,AUS,1.0,15.0,0.0,2.0
239,2020-02-10,Canada,CAN,1.0,7.0,0.0,0.0
240,2020-02-11,US,USA,1.083263946711074,13.0,0.0,3.0
241,2020-02-11,China,CHN,1.0477709904573842,44327.0,1111.0,4635.0
242,2020-02-11,India,IND,1.0,3.0,0.0,0.0
243,2020-02-11,Korea,KOR,1.0370233246945575,28.0,0.0,3.0
244,2020-02-11,Singapore,SGP,1.0444345700955344,47.0,0.0,9.0
245,2020-02-11,Italy,ITA,1.0,3.0,0.0,0.0
246,2020-02-11,UK,GBR,1.0,8.0,0.0,0.0
247,2020-02-11,Germany,DEU,1.1427551748750893,16.0,0.0,0.0
248,2020-02-11,Spain,ESP,1.0,2.0,0.0,0.0
249,2020-02-11,Brazil,BRA,1.0,0.0,0.0,0.0
250,2020-02-11,Australia,AUS,1.0,15.0,0.0,2.0
251,2020-02-11,Canada,CAN,1.0,7.0,0.0,0.0
252,2020-02-12,US,USA,1.0,13.0,0.0,3.0
253,2020-02-12,China,CHN,1.0083921744326991,44699.0,1116.0,5079.0
254,2020-02-12,India,IND,1.0,3.0,0.0,0.0
255,2020-02-12,Korea,KOR,1.0,28.0,0.0,7.0
256,2020-02-12,Singapore,SGP,1.0638162093171666,50.0,0.0,15.0
257,2020-02-12,Italy,ITA,1.0,3.0,0.0,0.0
258,2020-02-12,UK,GBR,1.1248439450686643,9.0,0.0,1.0
259,2020-02-12,Germany,DEU,1.0,16.0,0.0,0.0
260,2020-02-12,Spain,ESP,1.0,2.0,0.0,0.0
261,2020-02-12,Brazil,BRA,1.0,0.0,0.0,0.0
262,2020-02-12,Australia,AUS,1.0,15.0,0.0,2.0
263,2020-02-12,Canada,CAN,1.0,7.0,0.0,1.0
264,2020-02-13,US,USA,1.153727901614143,15.0,0.0,3.0
265,2020-02-13,China,CHN,1.3385533594591916,59832.0,1368.0,6213.0
266,2020-02-13,India,IND,1.0,3.0,0.0,0.0
267,2020-02-13,Korea,KOR,1.0,28.0,0.0,7.0
268,2020-02-13,Singapore,SGP,1.1599680063987203,58.0,0.0,15.0
269,2020-02-13,Italy,ITA,1.0,3.0,0.0,0.0
270,2020-02-13,UK,GBR,1.0,9.0,0.0,1.0
271,2020-02-13,Germany,DEU,1.0,16.0,0.0,1.0
272,2020-02-13,Spain,ESP,1.0,2.0,0.0,0.0
273,2020-02-13,Brazil,BRA,1.0,0.0,0.0,0.0
274,2020-02-13,Australia,AUS,1.0,15.0,0.0,8.0
275,2020-02-13,Canada,CAN,1.0,7.0,0.0,1.0
276,2020-02-14,US,USA,1.0,15.0,0.0,3.0
277,2020-02-14,China,CHN,1.107968961764781,66292.0,1520.0,7973.0
278,2020-02-14,India,IND,1.0,3.0,0.0,0.0
279,2020-02-14,Korea,KOR,1.0,28.0,0.0,7.0
280,2020-02-14,Singapore,SGP,1.1551456645405966,67.0,0.0,17.0
281,2020-02-14,Italy,ITA,1.0,3.0,0.0,0.0
282,2020-02-14,UK,GBR,1.0,9.0,0.0,1.0
283,2020-02-14,Germany,DEU,1.0,16.0,0.0,1.0
284,2020-02-14,Spain,ESP,1.0,2.0,0.0,0.0
285,2020-02-14,Brazil,BRA,1.0,0.0,0.0,0.0
286,2020-02-14,Australia,AUS,1.0,15.0,0.0,8.0
287,2020-02-14,Canada,CAN,1.0,7.0,0.0,1.0
288,2020-02-15,US,USA,1.0,15.0,0.0,3.0
289,2020-02-15,China,CHN,1.0309992109154633,68347.0,1662.0,9294.0
290,2020-02-15,India,IND,1.0,3.0,0.0,0.0
291,2020-02-15,Korea,KOR,1.0,28.0,0.0,9.0
292,2020-02-15,Singapore,SGP,1.0746157289956724,72.0,0.0,18.0
293,2020-02-15,Italy,ITA,1.0,3.0,0.0,0.0
294,2020-02-15,UK,GBR,1.0,9.0,0.0,1.0
295,2020-02-15,Germany,DEU,1.0,16.0,0.0,1.0
296,2020-02-15,Spain,ESP,1.0,2.0,0.0,2.0
297,2020-02-15,Brazil,BRA,1.0,0.0,0.0,0.0
298,2020-02-15,Australia,AUS,1.0,15.0,0.0,8.0
299,2020-02-15,Canada,CAN,1.0,7.0,0.0,1.0
300,2020-02-16,US,USA,1.0,15.0,0.0,3.0
301,2020-02-16,China,CHN,1.0307109264911516,70446.0,1765.0,10748.0
302,2020-02-16,India,IND,1.0,3.0,0.0,3.0
303,2020-02-16,Korea,KOR,1.0357015351660122,29.0,0.0,9.0
304,2020-02-16,Singapore,SGP,1.0416608804332732,75.0,0.0,18.0
305,2020-02-16,Italy,ITA,1.0,3.0,0.0,0.0
306,2020-02-16,UK,GBR,1.0,9.0,0.0,8.0
307,2020-02-16,Germany,DEU,1.0,16.0,0.0,1.0
308,2020-02-16,Spain,ESP,1.0,2.0,0.0,2.0
309,2020-02-16,Brazil,BRA,1.0,0.0,0.0,0.0
310,2020-02-16,Australia,AUS,1.0,15.0,0.0,8.0
311,2020-02-16,Canada,CAN,1.0,7.0,0.0,1.0
312,2020-02-17,US,USA,1.0,15.0,0.0,3.0
313,2020-02-17,China,CHN,1.0272265242559515,72364.0,1863.0,12455.0
314,2020-02-17,India,IND,1.0,3.0,0.0,3.0
315,2020-02-17,Korea,KOR,1.0344708721130644,30.0,0.0,10.0
316,2020-02-17,Singapore,SGP,1.026663111585122,77.0,0.0,24.0
317,2020-02-17,Italy,ITA,1.0,3.0,0.0,0.0
318,2020-02-17,UK,GBR,1.0,9.0,0.0,8.0
319,2020-02-17,Germany,DEU,1.0,16.0,0.0,1.0
320,2020-02-17,Spain,ESP,1.0,2.0,0.0,2.0
321,2020-02-17,Brazil,BRA,1.0,0.0,0.0,0.0
322,2020-02-17,Australia,AUS,1.0,15.0,0.0,10.0
323,2020-02-17,Canada,CAN,1.1426533523537803,8.0,0.0,1.0
324,2020-02-18,US,USA,1.0,15.0,0.0,3.0
325,2020-02-18,China,CHN,1.024528767822568,74139.0,2002.0,14199.0
326,2020-02-18,India,IND,1.0,3.0,0.0,3.0
327,2020-02-18,Korea,KOR,1.0333222259246917,31.0,0.0,12.0
